State,Areaname,STCOU,LND010190F,LND010190D,LND010190N1,LND010190N2,LND010200F,LND010200D,LND010200N1,LND010200N2,LND110180F,LND110180D,LND110180N1,LND110180N2,LND110190F,LND110190D,LND110190N1,LND110190N2,LND110200F,LND110200D,LND110200N1,LND110200N2,LND110210F,LND110210D,LND110210N1,LND110210N2,LND210190F,LND210190D,LND210190N1,LND210190N2,LND210200F,LND210200D,LND210200N1,LND210200N2
AL,Lauderdale,01077,0,718.84,0000,0000,0,718.78,0000,0000,0,661.4,0000,0000,0,669.52,0000,0000,0,669.46,0000,0000,0,667.7,0000,0000,0,49.32,0000,0000,0,49.32,0000,0000
AL,Lawrence,01079,0,718.13,0000,0000,0,718.07,0000,0000,0,693.37,0000,0000,0,693.45,0000,0000,0,693.38,0000,0000,0,690.68,0000,0000,0,24.68,0000,0000,0,24.68,0000,0000
AL,Lee,01081,0,615.61,0000,0000,0,615.55,0000,0000,0,609.34,0000,0000,0,608.79,0000,0000,0,608.71,0000,0000,0,607.54,0000,0000,0,6.82,0000,0000,0,6.84,0000,0000
AL,Limestone,01083,0,607.12,0000,0000,0,607.08,0000,0000,0,558.85,0000,0000,0,568.09,0000,0000,0,568.05,0000,0000,0,559.94,0000,0000,0,39.03,0000,0000,0,39.03,0000,0000
AL,Lowndes,01085,0,725.09,0000,0000,0,725.03,0000,0000,0,714.39,0000,0000,0,718,0000,0000,0,717.94,0000,0000,0,715.91,0000,0000,0,7.09,0000,0000,0,7.1,0000,0000
AL,Macon,01087,0,613.29,0000,0000,0,613.24,0000,0000,0,613.65,0000,0000,0,610.57,0000,0000,0,610.52,0000,0000,0,608.89,0000,0000,0,2.72,0000,0000,0,2.72,0000,0000
AL,Madison,01089,0,812.89,0000,0000,0,812.85,0000,0000,0,805.69,0000,0000,0,804.96,0000,0000,0,804.92,0000,0000,0,801.59,0000,0000,0,7.93,0000,0000,0,7.93,0000,0000
AL,Marengo,01091,0,982.92,0000,0000,0,982.85,0000,0000,0,981.87,0000,0000,0,977.12,0000,0000,0,977.04,0000,0000,0,976.88,0000,0000,0,5.8,0000,0000,0,5.8,0000,0000
AL,Marion,01093,0,743.62,0000,0000,0,743.57,0000,0000,0,743.4,0000,0000,0,741.46,0000,0000,0,741.41,0000,0000,0,742.29,0000,0000,0,2.16,0000,0000,0,2.16,0000,0000
AL,Marshall,01095,0,623.21,0000,0000,0,623.16,0000,0000,0,567.25,0000,0000,0,567.1,0000,0000,0,567.06,0000,0000,0,565.84,0000,0000,0,56.11,0000,0000,0,56.1,0000,0000
AL,Mobile,01097,0,1644.14,0000,0000,0,1644.02,0000,0000,0,1237.96,0000,0000,0,1233.36,0000,0000,0,1233.09,0000,0000,0,1229.44,0000,0000,0,410.78,0000,0000,0,410.93,0000,0000
AL,Monroe,01099,0,1034.62,0000,0000,0,1034.53,0000,0000,0,1019.21,0000,0000,0,1025.97,0000,0000,0,1025.85,0000,0000,0,1025.68,0000,0000,0,8.65,0000,0000,0,8.67,0000,0000
AL,Montgomery,01101,0,799.81,0000,0000,0,799.76,0000,0000,0,793.14,0000,0000,0,789.87,0000,0000,0,789.76,0000,0000,0,784.25,0000,0000,0,9.94,0000,0000,0,9.99,0000,0000
AL,Morgan,01103,0,599.09,0000,0000,0,599.06,0000,0000,0,575.25,0000,0000,0,582.25,0000,0000,0,582.21,0000,0000,0,579.34,0000,0000,0,16.84,0000,0000,0,16.84,0000,0000
AL,Perry,01105,0,724.13,0000,0000,0,724.08,0000,0000,0,718.49,0000,0000,0,719.54,0000,0000,0,719.48,0000,0000,0,719.66,0000,0000,0,4.59,0000,0000,0,4.59,0000,0000
AL,Pickens,01107,0,890.1,0000,0000,0,890.05,0000,0000,0,889.64,0000,0000,0,881.46,0000,0000,0,881.42,0000,0000,0,881.41,0000,0000,0,8.64,0000,0000,0,8.63,0000,0000
AL,Pike,01109,0,672.15,0000,0000,0,672.1,0000,0000,0,672.23,0000,0000,0,671.09,0000,0000,0,671.03,0000,0000,0,672.09,0000,0000,0,1.06,0000,0000,0,1.06,0000,0000
AL,Randolph,01111,0,584.15,0000,0000,0,584.11,0000,0000,0,584.48,0000,0000,0,581.09,0000,0000,0,581.05,0000,0000,0,580.55,0000,0000,0,3.06,0000,0000,0,3.06,0000,0000
AL,Russell,01113,0,647.44,0000,0000,0,647.38,0000,0000,0,633.78,0000,0000,0,641.14,0000,0000,0,641.32,0000,0000,0,641.14,0000,0000,0,6.3,0000,0000,0,6.06,0000,0000
AL,St. Clair,01115,0,653.66,0000,0000,0,653.61,0000,0000,0,646.06,0000,0000,0,633.99,0000,0000,0,633.75,0000,0000,0,631.9,0000,0000,0,19.67,0000,0000,0,19.86,0000,0000
AL,Shelby,01117,0,809.6,0000,0000,0,809.53,0000,0000,0,800.48,0000,0000,0,794.92,0000,0000,0,794.69,0000,0000,0,784.93,0000,0000,0,14.68,0000,0000,0,14.83,0000,0000
AL,Sumter,01119,0,913.35,0000,0000,0,913.3,0000,0000,0,907.12,0000,0000,0,904.98,0000,0000,0,904.94,0000,0000,0,903.89,0000,0000,0,8.37,0000,0000,0,8.37,0000,0000
AL,Talladega,01121,0,760.32,0000,0000,0,760.25,0000,0000,0,753,0000,0000,0,739.6,0000,0000,0,739.53,0000,0000,0,736.78,0000,0000,0,20.72,0000,0000,0,20.72,0000,0000
AL,Tallapoosa,01123,0,766.3,0000,0000,0,766.23,0000,0000,0,701.27,0000,0000,0,718.04,0000,0000,0,717.93,0000,0000,0,716.52,0000,0000,0,48.26,0000,0000,0,48.3,0000,0000
AL,Tuscaloosa,01125,0,1352.03,0000,0000,0,1351.23,0000,0000,0,1336.28,0000,0000,0,1325.27,0000,0000,0,1324.37,0000,0000,0,1321.76,0000,0000,0,26.76,0000,0000,0,26.85,0000,0000
AL,Walker,01127,0,805.36,0000,0000,0,805.3,0000,0000,0,803.57,0000,0000,0,794.45,0000,0000,0,794.39,0000,0000,0,791.19,0000,0000,0,10.91,0000,0000,0,10.91,0000,0000
AL,Washington,01129,0,1088.62,0000,0000,0,1088.54,0000,0000,0,1080.82,0000,0000,0,1080.73,0000,0000,0,1080.66,0000,0000,0,1080.21,0000,0000,0,7.89,0000,0000,0,7.89,0000,0000
AL,Wilcox,01131,0,907.54,0000,0000,0,907.46,0000,0000,0,883.14,0000,0000,0,888.76,0000,0000,0,888.68,0000,0000,0,888.5,0000,0000,0,18.78,0000,0000,0,18.78,0000,0000
AL,Winston,01133,0,631.9,0000,0000,0,631.86,0000,0000,0,613.4,0000,0000,0,614.48,0000,0000,0,614.44,0000,0000,0,612.98,0000,0000,0,17.42,0000,0000,0,17.42,0000,0000
ALASKA,ALASKA,02000,0,656424.14,0000,0000,0,663267.26,0000,0000,0,570833,0000,0000,0,570373.55,0000,0000,0,571951.26,0000,0000,0,570640.95,0000,0000,0,86050.59,0000,0000,0,91316,0000,0000
AK,Aleutians East,02013,0,15011.77,0000,0000,0,15011.6,0000,0000,2,0,5080,0000,0,6984.75,0000,0000,0,6988.14,0000,0000,0,6981.94,0000,0000,0,8027.02,0000,0000,0,8023.46,0000,0000
AK,Aleutians West,02016,0,14114.7,0000,0000,0,14116.51,0000,0000,1,10890,5080,0000,0,4402.11,0000,0000,0,4396.77,0000,0000,0,4390.28,0000,0000,0,9712.59,0000,0000,0,9719.74,0000,0000
AK,Anchorage,02020,0,1961.51,0000,0000,0,1961.09,0000,0000,0,1732,0000,0000,0,1697.64,0000,0000,0,1697.21,0000,0000,0,1704.68,0000,0000,0,263.87,0000,0000,0,263.88,0000,0000
AK,Bethel,02050,0,45954.59,0000,0000,0,45508.46,0000,0000,0,36104,0000,0000,0,41087.41,0000,0000,0,40633.31,0000,0000,0,40570,0000,0000,0,4867.18,0000,0000,0,4875.15,0000,0000
AK,Bristol Bay,02060,0,917.61,0000,0000,0,887.68,0000,0000,0,531,0000,0000,0,519.22,0000,0000,0,504.92,0000,0000,0,503.84,0000,0000,0,398.39,0000,0000,0,382.77,0000,0000
AK,Denali,02068,2,0,5082,0000,0,12774.53,0000,0000,2,0,5082,0000,2,0,5082,0000,0,12749.65,0000,0000,0,12751.41,0000,0000,2,0,5082,0000,0,24.88,0000,0000
AK,Dillingham,02070,0,20613.12,0000,0000,0,20928.41,0000,0000,1,46042,5081,0000,0,18466.93,0000,0000,0,18674.78,0000,0000,0,18568.78,0000,0000,0,2146.19,0000,0000,0,2253.63,0000,0000
AK,Fairbanks North Star,02090,0,7443.68,0000,0000,0,7444.02,0000,0000,0,7404,0000,0000,0,7362.43,0000,0000,0,7366.24,0000,0000,0,7338.21,0000,0000,0,81.25,0000,0000,0,77.78,0000,0000
AK,Haines,02100,0,2754.1,0000,0000,0,2725.82,0000,0000,0,2374,0000,0000,0,2357,0000,0000,0,2343.73,0000,0000,0,2318.6,0000,0000,0,397.1,0000,0000,0,382.09,0000,0000
AK,Hoonah-Angoon,02105,1,17500.23,5084,0000,1,11376.73,5084,0000,1,13239,5084,0000,1,12880.62,5084,0000,1,7896.48,5084,0000,0,7524.92,0000,0000,1,4619.61,5084,0000,1,3480.25,5084,0000
AK,Juneau,02110,0,3081.12,0000,0000,0,3255.01,0000,0000,0,2626,0000,0000,0,2593.56,0000,0000,0,2716.67,0000,0000,0,2701.93,0000,0000,0,487.56,0000,0000,0,538.34,0000,0000
AK,Kenai Peninsula,02122,0,21664.33,0000,0000,0,24754.6,0000,0000,0,16056,0000,0000,0,16078.92,0000,0000,0,16013.26,0000,0000,0,16075.33,0000,0000,0,5585.41,0000,0000,0,8741.34,0000,0000
AK,Ketchikan Gateway,02130,0,1743.55,0000,0000,0,1753.98,0000,0000,0,1242,0000,0000,0,1219.64,0000,0000,0,1233.22,0000,0000,0,4858.41,0000,0000,0,523.91,0000,0000,0,520.75,0000,0000
AK,Kodiak Island,02150,0,11845.9,0000,0000,0,12023.67,0000,0000,0,4796,0000,0000,0,6462.57,0000,0000,0,6559.85,0000,0000,0,6549.58,0000,0000,0,5383.33,0000,0000,0,5463.83,0000,0000
AK,Lake and Peninsula,02164,0,29008.24,0000,0000,0,30906.96,0000,0000,2,0,5081,0000,0,23632.32,0000,0000,0,23781.96,0000,0000,0,23652.01,0000,0000,0,5375.92,0000,0000,0,7125,0000,0000
AK,Matanuska-Susitna,02170,0,25232.41,0000,0000,0,25259.79,0000,0000,0,24502,0000,0000,0,24693.64,0000,0000,0,24681.54,0000,0000,0,24607.9,0000,0000,0,538.77,0000,0000,0,578.25,0000,0000
AK,Nome,02180,0,28276.17,0000,0000,0,28283.33,0000,0000,0,23871,0000,0000,0,23012.56,0000,0000,0,23000.91,0000,0000,0,22961.76,0000,0000,0,5263.61,0000,0000,0,5282.42,0000,0000
AK,North Slope,02185,0,93823.1,0000,0000,0,94762.64,0000,0000,0,90955,0000,0000,0,87860.49,0000,0000,0,88817.12,0000,0000,0,88695.41,0000,0000,0,5962.61,0000,0000,0,5945.53,0000,0000
AK,Northwest Arctic,02188,0,40660.96,0000,0000,0,40762,0000,0000,0,31593,0000,0000,0,35862.47,0000,0000,0,35898.34,0000,0000,0,35572.58,0000,0000,0,4798.49,0000,0000,0,4863.66,0000,0000
AK,Petersburg,02195,1,8973.77,5090,0000,1,9021.21,5090,0000,1,5965,5090,0000,1,5808.53,5090,0000,1,5834.94,5090,0000,0,3281.98,0000,0000,1,3165.24,5090,0000,1,3186.27,5090,0000
AK,Prince of Wales-Hyder,02198,0,12566.41,0000,0000,0,12706.3,0000,0000,0,7660,0000,0000,0,7324.47,0000,0000,0,7410.62,0000,0000,0,3922.87,0000,0000,0,5241.94,0000,0000,0,5295.67,0000,0000
AK,Sitka,02220,0,4849.75,0000,0000,0,4811.53,0000,0000,0,2938,0000,0000,0,2881.48,0000,0000,0,2873.98,0000,0000,0,2870.34,0000,0000,0,1968.27,0000,0000,0,1937.55,0000,0000
AK,Skagway,02230,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,0,452.33,0000,0000,2,0,5084,0000,2,0,5084,0000
AK,Southeast Fairbanks,02240,0,26235.44,0000,0000,0,25061.19,0000,0000,0,24169,0000,0000,0,25994.11,0000,0000,0,24814.86,0000,0000,0,24768.81,0000,0000,0,241.33,0000,0000,0,246.33,0000,0000
AK,Valdez-Cordova,02261,0,43515.67,0000,0000,0,40199.15,0000,0000,0,39229,0000,0000,0,36945.35,0000,0000,0,34319.1,0000,0000,0,34239.88,0000,0000,0,6570.32,0000,0000,0,5880.05,0000,0000
AK,Wade Hampton,02270,0,19680.08,0000,0000,0,19669.24,0000,0000,0,17816,0000,0000,0,17124.08,0000,0000,0,17193.5,0000,0000,0,17081.43,0000,0000,0,2556,0000,0000,0,2475.74,0000,0000
AK,Wrangell,02275,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,0,2541.48,0000,0000,2,0,5090,0000,2,0,5090,0000
AK,Yakutat,02282,2,0,5084,0000,0,9459.28,0000,0000,2,0,5084,0000,2,0,5084,0000,0,7650.46,0000,0000,0,7649.46,0000,0000,2,0,5084,0000,0,1808.82,0000,0000
AK,Yukon-Koyukuk,02290,1,158995.95,5082,0000,0,147842.51,0000,0000,1,159099,5082,0000,1,157121.27,5082,0000,0,145899.69,0000,0000,0,145504.79,0000,0000,1,1874.68,5082,0000,0,1942.83,0000,0000
ARIZONA,ARIZONA,04000,0,114006.26,0000,0000,0,113998.3,0000,0000,0,113508.06,0000,0000,0,113642.26,0000,0000,0,113634.57,0000,0000,0,113594.08,0000,0000,0,364,0000,0000,0,363.73,0000,0000
AZ,Apache,04001,0,11219.17,0000,0000,0,11218.42,0000,0000,0,11211.05,0000,0000,0,11205.68,0000,0000,0,11204.88,0000,0000,0,11197.52,0000,0000,0,13.49,0000,0000,0,13.54,0000,0000
AZ,Cochise,04003,0,6219.32,0000,0000,0,6218.77,0000,0000,0,6218.37,0000,0000,0,6170,0000,0000,0,6169.45,0000,0000,0,6165.69,0000,0000,0,49.32,0000,0000,0,49.32,0000,0000
AZ,Coconino,04005,0,18662.57,0000,0000,0,18661.21,0000,0000,0,18607.63,0000,0000,0,18619.14,0000,0000,0,18617.42,0000,0000,0,18618.89,0000,0000,0,43.43,0000,0000,0,43.79,0000,0000
AZ,Gila,04007,0,4796.14,0000,0000,0,4795.74,0000,0000,0,4752.4,0000,0000,0,4768.11,0000,0000,0,4767.7,0000,0000,0,4757.93,0000,0000,0,28.03,0000,0000,0,28.03,0000,0000
AZ,Graham,04009,0,4641.47,0000,0000,0,4641.14,0000,0000,0,4630.37,0000,0000,0,4629.64,0000,0000,0,4629.32,0000,0000,0,4622.6,0000,0000,0,11.83,0000,0000,0,11.83,0000,0000
AZ,Greenlee,04011,0,1848.55,0000,0000,0,1848.42,0000,0000,0,1836.76,0000,0000,0,1847.13,0000,0000,0,1847,0000,0000,0,1843.13,0000,0000,0,1.42,0000,0000,0,1.42,0000,0000
AZ,La Paz,04012,0,4513.66,0000,0000,0,4513.36,0000,0000,2,0,5071,0000,0,4499.57,0000,0000,0,4499.95,0000,0000,0,4499.63,0000,0000,0,14.09,0000,0000,0,13.4,0000,0000
AZ,Maricopa,04013,0,9224.86,0000,0000,0,9224.27,0000,0000,0,9126.76,0000,0000,0,9204.05,0000,0000,0,9203.14,0000,0000,0,9200.14,0000,0000,0,20.81,0000,0000,0,21.13,0000,0000
AZ,Mohave,04015,0,13470.5,0000,0000,0,13469.71,0000,0000,0,13285.33,0000,0000,0,13312.42,0000,0000,0,13311.64,0000,0000,0,13311.08,0000,0000,0,158.08,0000,0000,0,158.07,0000,0000
AZ,Navajo,04017,0,9960.22,0000,0000,0,9959.49,0000,0000,0,9954.71,0000,0000,0,9953.8,0000,0000,0,9953.18,0000,0000,0,9950.42,0000,0000,0,6.42,0000,0000,0,6.31,0000,0000
AZ,Pima,04019,0,9189.44,0000,0000,0,9188.83,0000,0000,0,9186.79,0000,0000,0,9187.01,0000,0000,0,9186.27,0000,0000,0,9187.04,0000,0000,0,2.43,0000,0000,0,2.57,0000,0000
AZ,Pinal,04021,0,5374.49,0000,0000,0,5374.09,0000,0000,0,5343.34,0000,0000,0,5369.99,0000,0000,0,5369.59,0000,0000,0,5365.61,0000,0000,0,4.5,0000,0000,0,4.5,0000,0000
AZ,Santa Cruz,04023,0,1238.22,0000,0000,0,1238.11,0000,0000,0,1238,0000,0000,0,1237.75,0000,0000,0,1237.63,0000,0000,0,1236.92,0000,0000,0,0.47,0000,0000,0,0.47,0000,0000
AZ,Yavapai,04025,0,8128.33,0000,0000,0,8127.78,0000,0000,0,8122.52,0000,0000,0,8123.54,0000,0000,0,8123.3,0000,0000,0,8123.5,0000,0000,0,4.79,0000,0000,0,4.48,0000,0000
AZ,Yuma,04027,0,5519.32,0000,0000,0,5518.96,0000,0000,1,9994.03,5071,0000,0,5514.43,0000,0000,0,5514.09,0000,0000,0,5513.99,0000,0000,0,4.89,0000,0000,0,4.87,0000,0000
ARKANSAS,ARKANSAS,05000,0,53182.36,0000,0000,0,53178.62,0000,0000,0,52078.24,0000,0000,0,52075.29,0000,0000,0,52068.17,0000,0000,0,52035.48,0000,0000,0,1107.07,0000,0000,0,1110.45,0000,0000
AR,Arkansas,05001,0,1033.85,0000,0000,0,1033.79,0000,0000,0,1005.87,0000,0000,0,988.53,0000,0000,0,988.49,0000,0000,0,988.77,0000,0000,0,45.32,0000,0000,0,45.3,0000,0000
AR,Ashley,05003,0,939.16,0000,0000,0,939.08,0000,0000,0,933.57,0000,0000,0,921.36,0000,0000,0,921.15,0000,0000,0,925.35,0000,0000,0,17.8,0000,0000,0,17.93,0000,0000
AR,Baxter,05005,0,586.78,0000,0000,0,586.74,0000,0000,0,545.77,0000,0000,0,554.41,0000,0000,0,554.36,0000,0000,0,554.28,0000,0000,0,32.37,0000,0000,0,32.38,0000,0000
AR,Benton,05007,0,876.82,0000,0000,0,880.24,0000,0000,0,843.47,0000,0000,0,843.31,0000,0000,0,845.99,0000,0000,0,847.36,0000,0000,0,33.51,0000,0000,0,34.25,0000,0000
AR,Boone,05009,0,601.86,0000,0000,0,601.82,0000,0000,0,583.97,0000,0000,0,591.22,0000,0000,0,591.18,0000,0000,0,590.23,0000,0000,0,10.64,0000,0000,0,10.64,0000,0000
AR,Bradley,05011,0,654.43,0000,0000,0,654.38,0000,0000,0,654.14,0000,0000,0,650.68,0000,0000,0,650.63,0000,0000,0,649.23,0000,0000,0,3.75,0000,0000,0,3.75,0000,0000
AR,Calhoun,05013,0,632.59,0000,0000,0,632.54,0000,0000,0,628.49,0000,0000,0,628.33,0000,0000,0,628.27,0000,0000,0,628.58,0000,0000,0,4.26,0000,0000,0,4.27,0000,0000
