county,county_seat,population,mandate,days_since_mandate,size,density
Schuyler,Lancaster,"4,431",12/6/2020,0,308,14.38636364
Scotland,Memphis,"4,843",12/6/2020,0,438,11.05707763
Scott,Benton,"39,191",12/6/2020,0,421,93.09026128
Shannon,Eminence,"8,441",12/6/2020,0,"1,004",8.407370518
Shelby,Shelbyville,"6,373",12/6/2020,0,501,12.72055888
Stoddard,Bloomfield,"29,968",12/6/2020,0,827,36.23700121
Stone,Galena,"32,202",12/6/2020,0,463,69.55075594
Sullivan,Milan,"6,714",12/6/2020,0,651,10.31336406
Taney,Forsyth,"51,675",12/6/2020,0,632,81.76424051
Texas,Houston,"26,008",12/6/2020,0,"1,179",22.05937235
Vernon,Nevada,"21,159",12/6/2020,0,834,25.3705036
Warren,Warrenton,"32,513",12/6/2020,0,432,75.26157407
Washington,Potosi,"25,195",12/6/2020,0,760,33.15131579
Wayne,Greenville,"13,521",12/6/2020,0,761,17.7674113
Webster,Marshfield,"36,202",12/6/2020,0,593,61.04890388
Worth,Grant City,"2,171",12/6/2020,0,266,8.161654135
Wright,Hartville,"18,815",12/6/2020,0,682,27.58797654
,,,13,,,
